"locus_tag","gene_id"
"SAOUHSC_00197","3920353"
"SAOUHSC_00198","3920354"
"SAOUHSC_00199","3920355"
"SAOUHSC_00200","3920356"
"SAOUHSC_00201","3920357"
"SAOUHSC_00202","3920358"
"SAOUHSC_00203","3920359"
"SAOUHSC_00204","3920360"
"SAOUHSC_00205","3920361"
"SAOUHSC_00206","3920362"
"SAOUHSC_00208","3920363"
"SAOUHSC_00209","3920364"
"SAOUHSC_00211","3920365"
"SAOUHSC_00212","3920366"
"SAOUHSC_00213","3920289"
"SAOUHSC_00214","3920290"
"SAOUHSC_00215","3920291"
"SAOUHSC_00216","3920292"
"SAOUHSC_00217","3920293"
"SAOUHSC_00218","3920294"
"SAOUHSC_00219","3920295"
"SAOUHSC_00220","3920296"
"SAOUHSC_00221","3920297"
"gene-SAOUHSC_A00219",NA
"SAOUHSC_00222","3920298"
"SAOUHSC_00223","3920299"
"SAOUHSC_00225","3920300"
"SAOUHSC_00226","3920301"
"SAOUHSC_00227","3920302"
"SAOUHSC_00228","3920303"
"SAOUHSC_00229","3920304"
"SAOUHSC_00230","3920305"
"SAOUHSC_00231","3920306"
"SAOUHSC_00232","3920307"
"SAOUHSC_00233","3920308"
"SAOUHSC_00234","3919254"
"SAOUHSC_00235","3919255"
"SAOUHSC_00236","3919256"
"SAOUHSC_00237","3919257"
"SAOUHSC_00238","3919258"
"SAOUHSC_00239","3919259"
"SAOUHSC_00240","3919260"
"SAOUHSC_00241","3919261"
"SAOUHSC_00242","3919262"
"SAOUHSC_00243","3919263"
"SAOUHSC_00244","3919264"
"SAOUHSC_00245","3919265"
"SAOUHSC_00246","3919266"
"SAOUHSC_00247","3919267"
"SAOUHSC_00248","3919268"
"SAOUHSC_00249","3919269"
"SAOUHSC_00250","3919270"
"SAOUHSC_00251","3919271"
"SAOUHSC_00253","3919272"
"SAOUHSC_00254","3919196"
"SAOUHSC_00255","3919197"
"SAOUHSC_00256","3919198"
"SAOUHSC_00257","3919199"
"SAOUHSC_00258","3919200"
"SAOUHSC_00259","3919201"
"SAOUHSC_00260","3919202"
"SAOUHSC_00261","3919203"
"SAOUHSC_00262","3919204"
"SAOUHSC_00264","3919205"
"SAOUHSC_00265","3919206"
"SAOUHSC_00266","3919207"
"SAOUHSC_00267","3919208"
"SAOUHSC_00268","3919209"
"SAOUHSC_00269","3919210"
"SAOUHSC_00270","3919211"
"SAOUHSC_00271","3919212"
"SAOUHSC_00272","3919213"
"SAOUHSC_00274","3919214"
"SAOUHSC_00275","3919215"
"SAOUHSC_00276","3918960"
"SAOUHSC_00277","3918961"
"SAOUHSC_00278","3918962"
"SAOUHSC_00279","3918963"
"SAOUHSC_00280","3918964"
"SAOUHSC_00281","3918965"
"SAOUHSC_00282","3918966"
"SAOUHSC_00284","3918967"
"gene-SAOUHSC_A00283",NA
"SAOUHSC_00285","3918968"
"SAOUHSC_00287","3918969"
"SAOUHSC_00289","3918970"
"SAOUHSC_00290","3918971"
"SAOUHSC_00291","3918972"
"SAOUHSC_00292","3918973"
"SAOUHSC_00293","3918974"
"SAOUHSC_00294","3918975"
"SAOUHSC_00295","3918976"
"SAOUHSC_00296","3918977"
"SAOUHSC_00297","3918978"
"SAOUHSC_00298","3919525"
"SAOUHSC_00299","3919526"
"SAOUHSC_00300","3919527"
"SAOUHSC_00301","3919528"
"SAOUHSC_00302","3919529"
"SAOUHSC_00303","3919530"
"SAOUHSC_00304","3919531"
"SAOUHSC_00305","3919532"
"SAOUHSC_00306","3919533"
"SAOUHSC_00307","3919534"
"SAOUHSC_00308","3919535"
"SAOUHSC_00309","3919536"
"SAOUHSC_00310","3919537"
"SAOUHSC_00311","3919538"
"SAOUHSC_00312","3919539"
"SAOUHSC_00313","3919540"
"SAOUHSC_00314","3919541"
"SAOUHSC_00315","3919542"
"SAOUHSC_00316","3919543"
"SAOUHSC_00317","3919544"
"SAOUHSC_00318","3919584"
"SAOUHSC_00319","3919585"
"SAOUHSC_00320","3919586"
"SAOUHSC_00322","3919587"
"SAOUHSC_00323","3919588"
"SAOUHSC_00324","3919589"
"SAOUHSC_00325","3919590"
"SAOUHSC_00326","3919591"
"SAOUHSC_00327","3919592"
"SAOUHSC_00328","3919593"
"SAOUHSC_00329","3919594"
"SAOUHSC_00330","3919595"
"SAOUHSC_00331","3919596"
"SAOUHSC_00332","3919597"
"SAOUHSC_00333","3919598"
"SAOUHSC_00334","3919599"
"SAOUHSC_00335","3919600"
"gene-SAOUHSC_A00332",NA
"SAOUHSC_00336","3919601"
"SAOUHSC_00337","3919602"
"SAOUHSC_00338","3921812"
"SAOUHSC_00339","3921813"
"SAOUHSC_00340","3921814"
"SAOUHSC_00341","3921815"
"SAOUHSC_00342","3921816"
"SAOUHSC_00344","3921817"
"SAOUHSC_00345","3921818"
"SAOUHSC_00346","3921819"
"SAOUHSC_00347","3921820"
"SAOUHSC_00348","3921821"
"SAOUHSC_00349","3921822"
"SAOUHSC_00350","3921823"
"SAOUHSC_00351","3921824"
"SAOUHSC_00352","3921825"
"SAOUHSC_00353","3921826"
"SAOUHSC_00354","3921827"
"SAOUHSC_00355","3921828"
"SAOUHSC_00356","3921829"
"SAOUHSC_00357","3921830"
"SAOUHSC_00358","3921831"
"gene-SAOUHSC_A00354",NA
"SAOUHSC_00359","3919779"
"SAOUHSC_00360","3919780"
"SAOUHSC_00362","3919781"
"SAOUHSC_00363","3919782"
"SAOUHSC_00364","3919783"
"SAOUHSC_00365","3919784"
"SAOUHSC_00366","3919785"
"SAOUHSC_00367","3919786"
"SAOUHSC_00368","3919787"
"SAOUHSC_00369","3919788"
"SAOUHSC_00370","3919789"
"SAOUHSC_00371","3919790"
"SAOUHSC_00372","3919791"
"SAOUHSC_00373","3919792"
"SAOUHSC_00374","3919793"
"SAOUHSC_00375","3919794"
"SAOUHSC_00376","3919795"
"SAOUHSC_00377","3919796"
"SAOUHSC_00378","3919797"
"SAOUHSC_00380","3919117"
"SAOUHSC_00381","3919118"
"SAOUHSC_00382","3919119"
"SAOUHSC_00383","3919120"
"SAOUHSC_00384","3919121"
"SAOUHSC_00386","3919122"
"SAOUHSC_00387","3919123"
"SAOUHSC_00389","3919124"
"SAOUHSC_00390","3919125"
"gene-SAOUHSC_A00379",NA
"SAOUHSC_00391","3919126"
"SAOUHSC_00392","3919127"
"SAOUHSC_00393","3919128"
"SAOUHSC_00394","3919129"
"SAOUHSC_00395","3919130"
"SAOUHSC_00396","3919131"
"SAOUHSC_00397","3919132"
"SAOUHSC_00398","3919133"
"SAOUHSC_00399","3919134"
"SAOUHSC_00400","3919135"
"SAOUHSC_00401","3919136"
"SAOUHSC_00402","3920561"
"SAOUHSC_00404","3920562"
"SAOUHSC_00405","3920563"
"SAOUHSC_00406","3920564"
"SAOUHSC_00407","3920565"
"SAOUHSC_00408","3920566"
"SAOUHSC_00409","3920567"
"SAOUHSC_00410","3920568"
"SAOUHSC_00411","3920569"
"SAOUHSC_00412","3920570"
"SAOUHSC_00413","3920571"
"SAOUHSC_00414","3920572"
"SAOUHSC_00415","3920573"
"SAOUHSC_00416","3920574"
"SAOUHSC_00417","3920575"
"SAOUHSC_00418","3920576"
"SAOUHSC_00420","3920577"
"SAOUHSC_00421","3920578"
"SAOUHSC_00422","3920579"
"SAOUHSC_00423","3919097"
"SAOUHSC_00424","3919098"
"SAOUHSC_00426","3919099"
"SAOUHSC_00427","3919100"
"SAOUHSC_00428","3919101"
"SAOUHSC_00429","3919102"
"SAOUHSC_00430","3919103"
"SAOUHSC_00431","3919104"
"SAOUHSC_00433","3919105"
"SAOUHSC_00434","3919106"
"SAOUHSC_00435","3919107"
"SAOUHSC_00436","3919108"
"gene-SAOUHSC_T00048",NA
"SAOUHSC_00437","3919109"
"SAOUHSC_00438","3919110"
"SAOUHSC_00439","3919111"
"SAOUHSC_00440","3919112"
"SAOUHSC_00441","3919113"
"SAOUHSC_00442","3919114"
"SAOUHSC_00444","3919115"
"SAOUHSC_00445","3919116"
"SAOUHSC_00446","3920309"
"gene-SAOUHSC_R0001",NA
"gene-SAOUHSC_R0006",NA
"gene-SAOUHSC_R00011",NA
"SAOUHSC_00450","3920310"
"SAOUHSC_00451","3920311"
"SAOUHSC_00452","3920312"
"SAOUHSC_00453","3920313"
"SAOUHSC_00454","3920314"
"SAOUHSC_00455","3920315"
"SAOUHSC_00456","3920316"
"SAOUHSC_00457","3920317"
"SAOUHSC_00458","3920318"
"SAOUHSC_00459","3920319"
"SAOUHSC_00460","3920320"
"SAOUHSC_00461","3920321"
"SAOUHSC_00462","3920322"
"SAOUHSC_00463","3920323"
"SAOUHSC_00464","3920324"
"SAOUHSC_00465","3920325"
"SAOUHSC_00466","3920326"
"SAOUHSC_00467","3920327"
"SAOUHSC_00468","3920328"
"SAOUHSC_00469","3920329"
"SAOUHSC_00470","3920330"
"SAOUHSC_00471","3920331"
"SAOUHSC_00472","3920332"
"SAOUHSC_00473","3920333"
"SAOUHSC_00474","3920334"
"SAOUHSC_00475","3920335"
"SAOUHSC_00477","3920336"
"SAOUHSC_00479","3920337"
"SAOUHSC_00480","3920338"
"SAOUHSC_00481","3920339"
"SAOUHSC_00482","3920340"
"SAOUHSC_00483","3920341"
"SAOUHSC_00484","3920342"
"SAOUHSC_00485","3920343"
"SAOUHSC_00486","3920344"
"SAOUHSC_00487","3920345"
"SAOUHSC_00488","3920346"
"SAOUHSC_00489","3920347"
"SAOUHSC_00490","3920406"
"SAOUHSC_00491","3920407"
"SAOUHSC_00492","3920408"
"SAOUHSC_00493","3920409"
"gene-SAOUHSC_R00016",NA
"gene-SAOUHSC_T00059",NA
"gene-SAOUHSC_T00053",NA
"gene-SAOUHSC_T00035",NA
"gene-SAOUHSC_T00021",NA
"gene-SAOUHSC_T00030",NA
"gene-SAOUHSC_T0004",NA
"gene-SAOUHSC_T00044",NA
"gene-SAOUHSC_T0001",NA
"gene-SAOUHSC_R0002",NA
"gene-SAOUHSC_R0007",NA
"gene-SAOUHSC_R00012",NA
"SAOUHSC_00497","3920410"
"SAOUHSC_00499","3920411"
"SAOUHSC_00500","3920412"
"SAOUHSC_00501","3920413"
"SAOUHSC_00502","3920414"
"SAOUHSC_00503","3920415"
"SAOUHSC_00504","3920416"
"SAOUHSC_00505","3920417"
"SAOUHSC_00506","3920418"
"SAOUHSC_00507","3920419"
"SAOUHSC_00508","3920420"
"SAOUHSC_00509","3920421"
"SAOUHSC_00510","3920422"
"SAOUHSC_00511","3920423"
"SAOUHSC_00512","3920424"
"SAOUHSC_00513","3920367"
"SAOUHSC_00514","3920368"
"SAOUHSC_00515","3920369"
"SAOUHSC_00516","3920370"
"SAOUHSC_00517","3920371"
"SAOUHSC_00518","3920372"
"SAOUHSC_00519","3920373"
"SAOUHSC_00520","3920374"
"SAOUHSC_00521","3920375"
"SAOUHSC_00523","3920376"
"SAOUHSC_00524","3920377"
"SAOUHSC_00525","3920378"
"SAOUHSC_00526","3920379"
"SAOUHSC_00527","3920380"
"SAOUHSC_00528","3920381"
"SAOUHSC_00529","3920382"
"SAOUHSC_00530","3920383"
"SAOUHSC_00531","3920384"
"SAOUHSC_00532","3920385"
"SAOUHSC_00533","3920386"
"SAOUHSC_00534","3920814"
"SAOUHSC_00535","3920815"
"SAOUHSC_00536","3920816"
"SAOUHSC_00537","3920817"
"SAOUHSC_00538","3920818"
"SAOUHSC_00539","3920819"
"SAOUHSC_00540","3920820"
"SAOUHSC_00541","3920821"
"SAOUHSC_00542","3920822"
"SAOUHSC_00543","3920823"
"gene-SAOUHSC_A00526",NA
"SAOUHSC_00544","3920824"
"SAOUHSC_00545","3920825"
"SAOUHSC_00547","3920826"
"SAOUHSC_00548","3920827"
"SAOUHSC_00549","3920828"
"SAOUHSC_00550","3920829"
"SAOUHSC_00551","3920830"
"SAOUHSC_00552","3920831"
"SAOUHSC_00553","3920832"
"SAOUHSC_00554","3920599"
"SAOUHSC_00555","3920600"
"SAOUHSC_00556","3920601"
"SAOUHSC_00557","3920602"
"SAOUHSC_00558","3920603"
"SAOUHSC_00559","3920604"
"SAOUHSC_00560","3920605"
"SAOUHSC_00561","3920606"
"SAOUHSC_00562","3920607"
"SAOUHSC_00564","3920608"
"SAOUHSC_00565","3920609"
"SAOUHSC_00567","3920610"
"SAOUHSC_00569","3920611"
"SAOUHSC_00571","3920612"
"SAOUHSC_00572","3920613"
"SAOUHSC_00573","3920614"
"SAOUHSC_00574","3920615"
"SAOUHSC_00575","3920616"
"SAOUHSC_00577","3920617"
"SAOUHSC_00578","3920618"
"SAOUHSC_00579","3920503"
"SAOUHSC_00580","3920504"
"SAOUHSC_00581","3920505"
"SAOUHSC_00582","3920506"
"SAOUHSC_00583","3920507"
"SAOUHSC_00584","3920508"
"SAOUHSC_00585","3920509"
"SAOUHSC_00586","3920510"
"SAOUHSC_00587","3920511"
"SAOUHSC_00588","3920512"
"SAOUHSC_00589","3920513"
"SAOUHSC_00591","3920514"
"SAOUHSC_00592","3920515"
"SAOUHSC_00593","3920516"
"SAOUHSC_00595","3920517"
"SAOUHSC_00596","3920518"
"SAOUHSC_00598","3920519"
"SAOUHSC_00599","3920520"
"SAOUHSC_00600","3920521"
"SAOUHSC_00602","3918921"
"SAOUHSC_00603","3918922"
"SAOUHSC_00604","3918923"
"SAOUHSC_00605","3918924"
"SAOUHSC_00606","3918925"
"SAOUHSC_00607","3918926"
"SAOUHSC_00608","3918927"
"SAOUHSC_00609","3918928"
"SAOUHSC_00610","3918929"
"SAOUHSC_00611","3918930"
"SAOUHSC_00612","3918931"
"SAOUHSC_00613","3918932"
"SAOUHSC_00614","3918933"
"SAOUHSC_00615","3918934"
"SAOUHSC_00616","3918935"
"SAOUHSC_00617","3918936"
"SAOUHSC_00618","3918937"
"SAOUHSC_00619","3918938"
"SAOUHSC_00620","3918939"
"SAOUHSC_00621","3918940"
"SAOUHSC_00622","3920033"
"SAOUHSC_00624","3920034"
"SAOUHSC_00625","3920035"
"SAOUHSC_00626","3920036"
"SAOUHSC_00627","3920037"
"SAOUHSC_00628","3920038"
"SAOUHSC_00629","3920039"
"SAOUHSC_00630","3920040"
"SAOUHSC_00632","3920041"
"SAOUHSC_00633","3920042"
"SAOUHSC_00634","3920043"
"SAOUHSC_00636","3920044"
"SAOUHSC_00637","3920045"
"SAOUHSC_00638","3920046"
"SAOUHSC_00639","3920047"
"SAOUHSC_00640","3920048"
"SAOUHSC_00641","3920049"
"SAOUHSC_00642","3920050"
"SAOUHSC_00643","3920051"
"SAOUHSC_00644","3919936"
"SAOUHSC_00645","3919937"
"SAOUHSC_00646","3919938"
"SAOUHSC_00647","3919939"
"SAOUHSC_00648","3919940"
"SAOUHSC_00650","3919941"
"SAOUHSC_00651","3919942"
"SAOUHSC_00652","3919943"
"SAOUHSC_00653","3919944"
"SAOUHSC_00654","3919945"
"SAOUHSC_00655","3919946"
"SAOUHSC_00656","3919947"
"SAOUHSC_00658","3919948"
"SAOUHSC_00659","3919949"
"SAOUHSC_00660","3919950"
"SAOUHSC_00661","3919951"
"gene-SAOUHSC_A00635",NA
"SAOUHSC_00662","3919952"
"SAOUHSC_00663","3919953"
"SAOUHSC_00664","3919954"
"SAOUHSC_00665","3919955"
"SAOUHSC_00666","3919429"
"SAOUHSC_00667","3919430"
"SAOUHSC_00668","3919431"
"SAOUHSC_00669","3919432"
"SAOUHSC_00670","3919433"
"SAOUHSC_00671","3919434"
"SAOUHSC_00672","3919435"
"SAOUHSC_00673","3919436"
"SAOUHSC_00674","3919437"
"SAOUHSC_00675","3919438"
"SAOUHSC_00676","3919439"
"SAOUHSC_00677","3919440"
"SAOUHSC_00678","3919441"
"SAOUHSC_00679","3919442"
"SAOUHSC_00680","3919443"
"SAOUHSC_00681","3919444"
"SAOUHSC_00682","3919445"
"SAOUHSC_00683","3919446"
"SAOUHSC_00684","3919447"
"SAOUHSC_00685","3920989"
"SAOUHSC_00686","3920990"
"SAOUHSC_00687","3920991"
"SAOUHSC_00688","3920992"
"SAOUHSC_00689","3920993"
"SAOUHSC_00690","3920994"
"SAOUHSC_00691","3920995"
"SAOUHSC_00692","3920996"
"SAOUHSC_00693","3920997"
"SAOUHSC_00694","3920998"
"SAOUHSC_00695","3920999"
"SAOUHSC_00696","3921000"
"SAOUHSC_00697","3921001"
"SAOUHSC_00698","3921002"
"SAOUHSC_00699","3921003"
"SAOUHSC_00700","3921004"
"SAOUHSC_00701","3921005"
"SAOUHSC_00702","3921006"
"SAOUHSC_00703","3921007"
"SAOUHSC_00704","3921008"
"SAOUHSC_00705","3919332"
"SAOUHSC_00706","3919333"
"SAOUHSC_00707","3919334"
"SAOUHSC_00708","3919335"
"SAOUHSC_00709","3919336"
"SAOUHSC_00710","3919337"
"SAOUHSC_00711","3919338"
"SAOUHSC_00712","3919339"
"SAOUHSC_00713","3919340"
"SAOUHSC_00714","3919341"
"SAOUHSC_00715","3919342"
"SAOUHSC_00716","3919343"
"SAOUHSC_00717","3919344"
"SAOUHSC_00718","3919345"
"SAOUHSC_00719","3919346"
"SAOUHSC_00720","3919347"
"SAOUHSC_00721","3919348"
"SAOUHSC_00722","3919349"
"SAOUHSC_00723","3919350"
"SAOUHSC_00724","3920969"
"SAOUHSC_00725","3920970"
"SAOUHSC_00726","3920971"
"SAOUHSC_00727","3920972"
"SAOUHSC_00728","3920973"
"gene-SAOUHSC_A00703",NA
"SAOUHSC_00729","3920974"
"SAOUHSC_00730","3920975"
"SAOUHSC_00731","3920976"
"SAOUHSC_00732","3920977"
"SAOUHSC_00733","3920978"
"SAOUHSC_00734","3920979"
"SAOUHSC_00735","3920980"
"SAOUHSC_00736","3920981"
"SAOUHSC_00737","3920982"
"SAOUHSC_00738","3920983"
"SAOUHSC_00739","3920984"
"SAOUHSC_00740","3920985"
"SAOUHSC_00741","3920986"
"SAOUHSC_00742","3920987"
"SAOUHSC_00743","3920988"
"SAOUHSC_00744","3919506"
"SAOUHSC_00745","3919507"
"SAOUHSC_00746","3919508"
"SAOUHSC_00747","3919509"
"SAOUHSC_00748","3919510"
"SAOUHSC_00749","3919511"
"SAOUHSC_00751","3919512"
"SAOUHSC_00752","3919513"
"SAOUHSC_00753","3919514"
"SAOUHSC_00754","3919515"
"SAOUHSC_00755","3919516"
"SAOUHSC_00756","3919517"
"SAOUHSC_00757","3919518"
"SAOUHSC_00758","3919519"
"SAOUHSC_00759","3919520"
"SAOUHSC_00760","3919521"
"SAOUHSC_00762","3919522"
"SAOUHSC_00763","3919523"
"SAOUHSC_00764","3919524"
"SAOUHSC_00765","3919057"
"SAOUHSC_00766","3919058"
"SAOUHSC_00767","3919059"
"SAOUHSC_00769","3919060"
"SAOUHSC_00770","3919061"
"SAOUHSC_00771","3919062"
"SAOUHSC_00772","3919063"
"SAOUHSC_00773","3919064"
"SAOUHSC_00774","3919065"
"SAOUHSC_00775","3919066"
"SAOUHSC_00776","3919067"
"SAOUHSC_00778","3919068"
"gene-SAOUHSC_A00747",NA
"SAOUHSC_00779","3919069"
"SAOUHSC_00780","3919070"
"SAOUHSC_00781","3919071"
"SAOUHSC_00782","3919072"
"SAOUHSC_00783","3919073"
